I need an answer.	Necesito una respuesta.
Listen to me, will you?	Escúchame, ¿quieres?
What happened next?	¿Qué pasó después?
When do you write?	¿Cuándo escribes?
You're overconfident.	Eres soberbio.
He looked pleased.	Parecía satisfecho.
Tom is jobless.	Tom está desempleado.
I woke you up.	Te he despertado.
We should be worried.	Deberíamos preocuparnos.
Who's speaking?	¿Quién habla?
I'm not dumb.	No soy estúpido.
I'm unnecessary here.	Estoy de más.
Tom is over there.	Tom está allí.
There was an accident.	Hubo un accidente.
Can you dance?	¿Puedes bailar?
Tom relaxed.	Tom se relajó.
Tell us something.	Díganos algo.
I'd like a book.	Quisiera un libro.
You have three messages.	Tiene tres mensajes.
I'd like to see it.	Quisiera verlo.
I support him.	Yo lo apoyo.
Let's be optimistic.	Seamos optimistas.
Can you forgive me?	¿Puede perdonarme?
I'm used to it.	Estoy acostumbrado.
My leg hurts.	Me duele la pierna.
Call the police.	Llamá a la policía.
How much is this?	¿Cuánto es esto?
Let's be creative.	Seamos creativos.
Aren't you Tom?	¿No eres tú Tom?
We didn't need that.	No necesitábamos eso.
Open your mouth.	Abrí la boca.
It may snow.	Podría nevar.
Wow! That's cheap!	¡Qué barato está eso!
We're still here.	Todavía estamos aquí.
Don't go.	No te vayas.
Come over here.	Ven acá.
Tom didn't drown.	Tomás no se ahogó.
Do you have paper?	¿Tiene usted papel?
You need a lawyer.	Necesitas un abogado.
How much do you weigh?	¿Cuánto pesas?
They were thrilled.	Ellos estaban emocionados.
Let me have a try.	Déjame intentarlo.
I help him.	Le ayudo.
I'm so happy.	Soy tan feliz.
She has a book.	Tiene un libro.
I live on my own.	Vivo solo.
I always feel hungry.	Siempre estoy hambriento.
I could barely breathe.	Apenas podía respirar.
Tom wasn't rich.	Tom no era rico.
You're under arrest!	¡Estás arrestado!
Come quickly.	Ven deprisa.
You're fine.	Tú estás bien.
You are deranged.	Eres un perturbado mental.
There's your wife.	Ahí está tu esposa.
I accept your apology.	Acepto sus disculpas.
She slowly moved forward.	Ella avanzó lentamente.
Don't hurt me!	¡No me hagas daño!
Did anybody come?	¿Vino alguien?
She was born blind.	Ella nació ciega.
You're completely healthy.	Estás completamente saludable.
Who helped Tom?	¿Quién ayudó a Tom?
Tom was aloof.	Tom estaba distante.
Do you have rice?	¿Tienen arroz?
I've won.	Gané.
I have a car.	Tengo un coche.
It's completely natural.	Es completamente natural.
I enthusiastically accepted.	Acepté con entusiasmo.
People are funny.	La gente es ridícula.
Milk is white.	La leche es blanca.
Try it on.	Pruébatelo.
Consider yourselves lucky.	Considérense afortunados.
Is it black?	¿Es negro?
You'll feel better.	Vas a sentirte mejor.
Tom imitated Mary.	Tom imitó a Mary.
Tom is helpful.	Tom es servicial.
I bought it.	Lo compré.
Are you related?	¿Sois parientes?
Summer has ended.	El verano se acabó.
Do you have any sisters?	¿Tenéis hermanas?
I'm nervous, too.	Yo también estoy nervioso.
It really works.	Verdaderamente va.
Would you stop babbling?	¿Dejarás de chismorrear?
You're sweet.	Eres muy dulce.
I have the key.	Tengo la llave.
There's our bus.	Ahí está nuestro bus.
I won't be coerced.	No seré coaccionado.
You're not sick.	No estáis enfermos.
I'm so wasted.	Estoy tan perdido.
This is extortion.	Esto es extorsión.
Don't touch this!	¡No toques esto!
We will not surrender.	No nos rendiremos.
I moved.	Me he trasladado.
He's very angry.	Está realmente enfadado.
There is one problem.	Hay un problema.
We're only friends.	Somos solo amigos.
She is unconscious.	Ella está inconsciente.
I made her angry.	La hice enfadar.
You'll catch up.	Tú le alcanzarás.
He terrified him.	Él le aterroriza.
Have you lost something?	¿Has perdido algo?
We remained silent.	Nos quedamos callados.
Please identify yourself.	Identifíquese, por favor.
Don't admit anything.	No admitas nada.
It's vibrating.	Está vibrando.
This is ridiculous.	Eso es ridículo.
It should be fun.	Debería ser divertido.
Appearances are deceiving.	Las apariencias engañan.
It was my mistake.	Fue mi error.
Love conquers all.	El amor vence todo.
We talked about everything.	Hablamos de todo.
Tom knows Boston.	Tom conoce Boston.
Aren't I invited?	¿No estoy invitado?
Tom kept reading.	Tom siguió leyendo.
Make it smaller.	Hazlo más pequeño.
I bought a ticket.	Compré una entrada.
I feel homesick.	Extraño mi hogar.
That's broken.	Eso no va.
You're spoiling the mood.	Arruinas la atmósfera.
I've got no worries.	No tengo preocupaciones.
I cursed.	Maldije.
We're sailing southward.	Navegamos rumbo sur.
There she comes.	Ahí viene ella.
You've got a fever.	Estás con temperatura.
You are very insensitive.	Eres muy insensible.
Tom looked drunk.	Tom parecía borracho.
Are you here?	¿Estás aquí?
Bring your computer.	Trae tu computadora.
Quote me an example.	Ponme un ejemplo.
Who's that girl?	¿Quién es esa chica?
Look ahead.	Miren hacia adelante.
We'll rebuild.	Reconstruiremos.
When was that?	¿Cuándo fue eso?
I have a hunch.	Tengo una corazonada.
My sunburn hurts.	Me duele la quemadura.
That's pretty impressive.	Eso es bastante impresionante.
We need a car.	Necesitamos un coche.
I like teaching.	Me gusta enseñar.
Nobody listens to me.	Nadie me escucha.
I'm not worthless.	No soy sin valor.
I'm undressing.	Me desnudo.
I was late.	Llegué tarde.
Night fell.	Anochecía.
Did Tom kiss you?	¿Te besó Tom?
Explain it to me.	Explíquenmela.
Tom wasn't convinced.	Tom no estaba convencido.
Is everything ready?	¿Está todo listo?
Leave tomorrow.	Sal mañana.
I'm not going to die.	No moriré.
You won.	Has ganado.
You'd better believe it.	Mejor creelo.
He's gone senile.	Él se puso senil.
What a great idea!	¡Qué gran idea!
We're getting married.	¡Nos casamos!
Go find out.	Ve y descúbrelo.
Do you need something?	¿Necesitás algo?
What a selfish woman!	¡Qué mujer egoísta!
I agree.	De acuerdo.
He is nasty.	Él da grima.
It was all wrong.	Todo estaba mal.
You're among friends.	Usted está entre amigos.
I was born here.	Nací aquí.
Breathe in deeply.	Respira profundamente.
We're bored.	Estamos aburridos.
Let's fly kites.	Volemos cometas.
Remain seated, please.	Quédense sentados, por favor.
I'll make you happy.	Te haré feliz.
Are they American?	¿Son estadounidenses?
Has Tom called yet?	Llamó Tom?
Do you feel sick?	¿Te sientes mal?
I've been shot.	Me dispararon.
She is walking.	Ella está caminando.
We have pictures.	Tenemos fotos.
Tom was happy.	Tom fue feliz.
Try some more.	Sigue un poco más.
He did the opposite.	Hizo lo contrario.
Is anyone hurt?	¿Alguien está lastimado?
They exchanged hellos.	Ellos intercambiaron saludos.
I beg you.	Te lo suplico.
Let's go down.	Vayamos abajo.
We want more food.	Queremos más comida.
Tom's here.	Tom está aquí.
It was my fault.	Fue culpa mía.
Calm down.	Bajá un cambio.
What are you feeling?	¿Qué notas?
Other options remain.	Todavía quedan otras opciones.
He has a beard.	Tiene barba.
Don't come in.	No entrar.
We have a dog.	Tenemos perro.
Ignore it.	No hagas caso.
Nothing is forever.	Nada es para siempre.
Walk slowly.	Camina lentamente.
Skip it.	Sáltatelo.
Enjoy the show.	Disfruten del espectáculo.
I only drink water.	Solo bebo agua.
Please don't cry.	Por favor, no llores.
This is life!	¡Esto es vida!
Ain't she cute?	¿Acaso no es linda?
You're not stupid.	No eres estúpida.
Take good care of yourself.	Cuídate mucho.
That day shall come.	El día vendrá.
I'm drunk.	Estoy tomada.
We are not Americans.	No somos americanos.
I'd better see him.	Prefiero verlo.
I'm home, Tom.	Estoy en casa, Tom.
Please shut up.	Cállate, por favor.
We're in charge.	Estamos a cargo.
Health is wealth.	La salud es riqueza.
Is this mine?	¿Es éste el mío?
I helped him yesterday.	Ayer le ayudé.
That's my wife.	Aquella es mi mujer.
Turn off the light.	Apague la luz.
She spoke Japanese well.	Hablaba bien japonés.
Tom was a paratrooper.	Tom era paracaidista.
This costs nothing.	No cuesta nada.
How do you study?	¿Cómo estudias?
Who cares?	¿A quién le importa?
I know the difference.	Sé la diferencia.
I'm motivated.	Estoy motivado.
It broke.	Se ha roto.
Study harder.	Estudiad más.
Lie still.	Mantente quieto en el suelo.
Nothing is an accident.	Nada es casualidad.
Keep it on you.	Consérvalo contigo.
They're typical youngsters.	Son jovenzuelos del montón.
Tom was adopted.	Tom fue adoptado.
I didn't cheat.	No hice trampas.
It's time.	Ha llegado el momento.
We'll go together.	Vamos a ir juntos.
I heard every word.	Lo oí todo.
I'll stop.	Lo dejaré.
I've never hallucinated.	Nunca he tenido alucinaciones.
I lost the list.	Perdí la lista.
Tom turned serious.	Tom se puso serio.
I wasn't frightened.	No tenía miedo.
Tom avoided Mary.	Tom evitaba a María.
Call my husband.	¡Llame a mi marido!
Lift it up.	Levántalo.
I have no alternative.	No tengo alternativa.
It's still damp.	Aún está húmedo.
Quit complaining.	¡Dejen de quejarse!
I'm sure of this.	Estoy bastante seguro.
I love soup.	Me encanta la sopa.
I wanted your opinion.	Quería tu opinión.
I'm worried.	Estoy preocupada.
Nobody can stop me!	¡Nadie puede pararme!
Sweet dreams!	¡Dulces sueños!
That's a mistake.	Es un error.
We're pooped.	Estamos hechos polvo.
They need money.	Necesitan dinero.
Who vanished?	¿Quién desapareció?
Vegetarians eat vegetables.	Los vegetarianos comen verduras.
Tom's unstoppable.	Tomás es imparable.
That's ridiculous.	Eso es ridículo.
Mary was a cheerleader.	Mary era animadora.
She wants him.	Ella lo quiere.
It interrupted everyone.	Interrumpía a todos.
Tom'll know.	Tom lo sabrá.
Back off.	Apártate.
I've heard that.	Oí eso.
Give him my regards.	Dale mis saludos.
Who's winning?	¿Quién gana?
He has changed.	Ha cambiado.
You're so naive.	Eres muy ingenuo.
I warned you.	Se lo advertí.
Go to the hospital.	Ve al hospital.
Can you walk?	¿Puedes andar?
Where's my brother?	¿Dónde está mi hermano?
Where was he born?	¿Dónde nació él?
These are mine.	Éstas son las mías.
Is this OK?	¿Esto es bueno?
I didn't see her.	No la vi.
You may go now.	Ahora puede irse.
I understand the issues.	Comprendo los problemas.
What did you eat?	¿Qué comiste tú?
You may return.	Quizá vuelvan.
I need a favor.	Necesito un favor.
She is a self-educated woman.	Es autodidacta.
I'm single again.	Vuelvo a estar soltero.
They're escaping.	Se escapan.
Never say never.	Nunca digas nunca.
Tom was a bookkeeper.	Tom era contable.
I hate tomatoes.	Odio los tomates.
I have a request.	Tengo una petición.
What'd you say?	¿Qué has dicho?
It's raining there.	Ahí está lloviendo.
What's your philosophy?	¿Cuál es tu filosofía?
I'm always tired.	Siempre estoy cansado.
Did you want to drive?	¿Querías conducir?
It isn't broken.	No está roto.
We're on leave.	Estamos de vacaciones.
Red wine, please.	Vino tinto, por favor.
Tom went pale.	Tom se quedó pálido.
I exaggerated a little.	Exageré un poco.
There are few alternatives.	Hay pocas alternativas.
So where were you?	¿Entonces dónde estabas?
You are very smart.	Son muy listos.
There was a trial.	Hubo un juicio.
Let's go find out.	Vayamos y averigüémoslo.
I want this bag.	Quiero esta bolsa.
It was from Tom.	Era de Tom.
I see nothing.	No veo nada.
It gets better.	Mejora.
I'd like to see her.	Quiero verla.
I play violin.	Toco el violín.
I have a visa.	Tengo una visa.
Now, you sing.	Ahora cantas tú.
I really should leave.	Realmente debería salir.
Tom is unmarried.	Tom es soltero.
Listen closely.	Escucha atentamente.
I come from Brazil.	Vengo de Brasil.
I was defenseless.	Estaba indefenso.
We weren't fighting.	No estábamos peleándonos.
I need a marker.	Necesito un rotulador.
I can't stand him.	No le aguanto.
That's pure genius.	Es sencillamente genial.
I'm sorry.	Lo siento.
They've fooled you.	Los han engañado.
I can handle it.	Puedo apañármelas.
Tom is overemotional.	Tom es muy emocional.
Don't be irresponsible.	No seas irresponsable.
Don't annoy me.	No me moleste.
We got married.	Nos hemos casado.
They've come back.	Ellas han regresado.
She has nice legs.	Tiene buenas piernas.
Turn it on.	Enciéndelo.
What do I have?	¿Qué tengo?
I'll find out eventually.	Yo averiguaré finalmente.
She got caught.	La cogieron.
He shall be punished.	Será castigado.
It was snowing.	Nevó.
I remember seeing her.	Recuerdo haberla visto.
Are you sleeping, Tom?	Tom, ¿estás dormido?
Let it rest, Tom.	Déjalo descansar, Tom.
It gets worse.	Se pone peor.
Can this wait?	¿Puede esperar esto?
Tom has arthritis.	Tom tiene artritis.
You look sad.	Pareces triste.
Tom called me.	Me ha llamado Tom.
They're defenseless.	Están desvalidos.
Tom relented.	Tom se apiadó.
What were we thinking?	¿Qué estábamos pensando?
Many fish died.	Muchos peces murieron.
Tom got annoyed.	Tom se aburrió.
Wipe your nose.	Sonate la nariz.
I am cooking now.	Ahora estoy cocinando.
Last night I threw up.	Vomité anoche.
I eat meat.	Yo como carne.
She loves coffee.	Le encanta el café.
I want the best.	Quiero lo mejor.
Tom lost.	Tom perdió.
Take precautions.	Ten cuidado.
I can't enter.	No puedo entrar.
Bear with me.	Sé paciente conmigo.
She looked at me.	Ella me miró.
It's my job.	Es mi trabajo.
Can you find out?	¿Puedes descubrirlo?
Tom found Mary.	Tom encontró a Mary.
I need many books.	Necesito muchos libros.
It fell to pieces.	Se hizo pedazos.
They're inseparable.	Ellas son inseparables.
I feel useless.	Me siento inútil.
We've got the key.	Tenemos la clave.
Snakes are reptiles.	Las víboras son reptiles.
Nobody can help you.	Nadie puede ayudarlos.
I won't be ready.	No estaré listo.
It's dark.	Está oscuro.
Are you embarrassed?	¿Tienes vergüenza?
It's Tom.	Es Tom.
I'm still up.	Todavía estoy levantado.
Everything seemed OK.	Todo parecía bien.
Aren't you hungry?	¿No tenéis hambre?
Are you drunk?	¿Estás borracho?
Leave tomorrow.	Vete mañana.
Tom eventually confessed.	Tom finalmente confesó.
We think alike.	Yo también pienso así.
I know the boy.	Conozco al chico.
I can't resist her.	Me resulta irresistible.
I've decided.	Tomé mi decisión.
We've been abandoned.	Fuimos abandonados.
Yes. That's right.	Sí, es correcto.
You will fail.	Fracasarás.
I was fired yesterday.	Me despidieron ayer.
Where's the map?	¿Dónde está el mapa?
Just get back here.	Vuelve.
I went fishing.	Fui a pescar.
Stop them.	Párales.
I speak very fast.	Hablo muy rápido.
You still have time.	Todavía tienes tiempo.
You know something.	Tú sabes algo.
We're professors.	Somos profesoras.
Are you famous?	¿Tú eres famosa?
Hold up.	Detente.
Is anybody home?	¿Hay alguien en casa?
Cats are weird.	Los gatos son extraños.
Can you identify this?	¿Puedes identificar esto?
I get you.	Te pillo.
I refuse to do it.	Rehúso hacerlo.
I'm just curious.	Solo tengo curiosidad.
You look good.	Te ves bien.
We like you.	Nos gustas.
Drink some tea.	Bebe algo de té.
Let's get married.	Casémonos.
Tom is perfect.	Tom es perfecto.
What do you want?	¿Qué queréis?
What a big truck!	¡Qué gran camión!
Are you guys sorry?	¿Lo sentís?
I should've told you.	Debería habértelo dicho.
Let me see that.	A ver eso.
You're perfectly right.	Tienes toda la razón.
No one helped me.	Nadie me ayudó.
We should go.	Deberíamos irnos.
Tom remained behind.	Tom se quedó atrás.
Tom failed.	Tom fracasó.
What's their story?	¿Cuál es su historia?
Is Tom asleep?	¿Tom está dormido?
Tom started mumbling.	Tom comenzó a murmurar.
Here's something interesting.	Aquí hay algo interesante.
How dare you!	¡Cómo te atreves!
You're very wise.	Sos muy sabio.
They love me.	Ellos me aman.
I didn't buy that.	No compré eso.
Nobody is speaking.	Nadie está hablando.
They attempted to escape.	Ellos intentaron escapar.
They didn't mistreat me.	No me maltrataron.
You're very smart.	Son muy listos.
I'm very excited.	Estoy muy emocionada.
Could you sign here?	¿Podría firmar aquí?
Try to find it.	Trata de encontrarlo.
Get in touch with me.	Comuníquese conmigo.
Eat everything.	Cómete todo.
Let's do that.	Hagamos eso.
You'll be fine.	Estarás bien.
Keep singing.	Siga cantando.
Hand me the scissors.	Pásame las tijeras.
I don't eat meat.	No como carne.
We are at home.	Estamos en casa.
Keep talking.	Continuá hablando.
Do you know me?	¿Me conoce usted?
Check, please.	La cuenta, por favor.
I played soccer.	Jugaba al fútbol.
Tom is rested.	Tom está descansado.
We have finished lunch.	Terminamos de almorzar.
Tom, are you there?	Tom, ¿estás ahí?
Nobody's blaming you.	Nadie te está culpando.
Tom is insecure.	Tom es inseguro.
You promised.	Prometió.
The drain's clogged.	El desagüe está tapado.
Shame on you.	¡Ten vergüenza!
They're boys.	Son muchachos.
Tom survived.	Tom sobrevivió.
I drank a lot.	Bebí un montón.
Tom can talk.	Tom puede hablar.
You don't have time.	No tienes tiempo.
Do you understand me?	¿Me entiende usted?
You aren't replaceable.	No eres reemplazable.
I was careful.	Fui precavido.
You can't stop me.	No pueden pararme.
I lied.	Mentí.
Excuse me?	¿Perdón?
I have one brother.	Tengo un hermano.
Tom can explain it.	Tom puede explicarlo.
It's quite remarkable.	Es bastante notorio.
Cross the bridge.	Cruza el puente.
Tom lied to me.	Tom me mintió.
Please turn over.	Dense vuelta, por favor.
Tom looks worried.	Tomás parece preocupado.
Be prepared.	Estate preparado.
Let's not go there.	No vayamos allá.
Let him in.	Déjelo entrar.
Call me anytime.	Llámame en cualquier momento.
I hate surprises.	Odio las sorpresas.
There's someone inside.	Hay alguien adentro.
Can I leave now?	¿Puedo irme ya?
I don't drink wine.	No bebo vino.
Will you tuck me in?	¿Me arropas?
When did you come?	¿Cuándo viniste?
You're nervous.	Estás nervioso.
She has beautiful handwriting.	Ella escribe precioso.
I won't forget that.	No olvidaré eso.
What did Tom eat?	¿Qué comió Tom?
I gave up.	Me rendí.
Yes, of course.	Claro que sí.
You have to rehydrate.	Debes rehidratarte.
She got angry.	Se enojó.
I'm boiling water.	Estoy hirviendo agua.
Please choose wisely.	Por favor, elija sabiamente.
Go straight.	Ve recto.
You're over-analyzing.	Estás analizando demasiado.
Who won today?	¿Quién ganó hoy?
I live in Boston.	Vivo en Boston.
I miss him.	Lo extraño.
Tom is insolent.	Tom es insolente.
Follow him.	Síguelo.
I'll set you free.	Te liberaré.
I'll wait for you.	Te esperaré.
I'm getting thinner.	Estoy adelgazando.
Shouting isn't singing.	Gritar no es cantar.
Tom had breakfast.	Tom desayunó.
You could stop this.	Podrías parar esto.
Nobody went there.	Nadie fue ahí.
I get things done.	Hago las cosas.
Don't move!	¡No os mováis!
Tom challenged Mary.	Tom desafió a Mary.
You've got five minutes.	Tienes cinco minutos.
I'm not adventurous.	No soy aventuroso.
That's why I asked.	Por eso pregunté.
Goodbye. See you tomorrow.	Adiós. Hasta mañana.
I'm illiterate.	Soy analfabeto.
Are you a Christian?	¿Eres cristiano?
How lovely!	¡Encantador!
Have faith.	Tengan fe.
Tom was sober.	Tom estaba sobrio.
Smell this.	Huelan esto.
Show me your papers!	¡Mostrame tus papeles!
I bought a cactus.	Compré un cactus.
I drove here.	Conduje hasta aquí.
Do you know him?	¿Le conoces?
I'll be patient.	Seré paciente.
That's my wife.	Ella es mi esposa.
Is it enough?	¿Es suficiente?
Bring help.	Traed ayuda.
Just stay close.	Solamente quédate cerca.
We eat fish raw.	Comemos pescado crudo.
I like these.	Me gusta eso.
I squinted.	Entorné los ojos.
I know the rules.	Conozco las normas.
Visitors are welcome.	Los visitantes son bienvenidos.
There's the lighthouse.	Ahí está el faro.
It's sunny today.	Hoy hace sol.
Don't complain.	No se quejen.
We're very good friends.	Somos amigos íntimos.
These are wonderful.	Estas son maravillosas.
Saddle my horse.	Ensilla mi caballo.
They aren't mine.	No son míos.
You know everything.	Tú sabes todo.
Duck!	¡Agachaos!
Can anybody hear me?	¿Me oye alguien?
I don't deserve you.	No te merezco.
You could get dehydrated.	Puedes deshidratarte.
I understand why.	Entiendo por qué.
Forty people attended.	Acudieron cuarenta personas.
You'll see it.	Lo verás.
Call the FBI.	Llama al FBI.
We've arrived.	Llegamos.
Tom already left.	Ya se fue Tom.
That would be awkward.	Eso sería raro.
Aren't you happy?	¿No estás feliz?
Tom is disagreeable.	Tom es antipático.
You're my hero.	¡Eres mi héroe!
How's your wife?	¿Cómo está tu mujer?
Everyone is an artist.	Todos son artistas.
Look back.	Mire atrás.
You're fired.	Están despedidas.
Where's the shovel?	¿Dónde está la pala?
Do you have a cellphone?	¿Tienes móvil?
I can't blame you.	No puedo culparos.
Thank you very, very much!	¡Muchísimas gracias!
I'll keep trying.	Voy a seguir intentando.
Come on back.	Regresa.
She looks lonesome.	Ella se ve sola.
Beware of pickpockets.	Ojo con los lanzas.
I smell smoke.	Yo huelo humo.
Leave us.	Déjanos.
I no longer drink.	Ya no bebo.
Lock the door!	¡Traba la puerta!
Be more precise.	Sé más preciso.
Beat the eggs.	Bate los huevos.
Someone's coming.	Viene alguien.
They refused to fight.	Ellos evitaron pelear.
Do you have kids?	¿Tienen hijos?
Get everyone inside.	Haz que todos entren.
Have another cookie.	Coge otra galleta.
I cut myself.	Me corto.
Come with me now.	Ahora ven conmigo.
What's the hurry?	¿Cuál es la prisa?
Hello.	Hola.
Never forget it.	Nunca lo olvides.
I can't see well.	No veo bien.
She speaks too much.	Ella habla demasiado.
I want this.	Quiero este.
I'm only thirteen.	Solo tengo trece años.
We have three granddaughters.	Tenemos tres nietas.
The dog is barking.	El perro ladra.
Aren't you hot?	¿Usted no tiene calor?
Why is that?	¿Por qué pasa eso?
Just open the door.	Abre la puerta.
Make your bed.	Haz tu cama.
I want to please you.	Quiero complacerte.
It's snowing today.	Hoy está nevando.
Tom's bored.	Tom está aburrido.
It was very windy.	Estaba muy ventoso.
I was discouraged.	Estaba frustrado.
He's a ninja.	Él es ninja.
Tom was shocked.	Tom estaba pasmado.
It was fantastic.	Fue fantástico.
I want one.	Quiero uno.
I'm selfish.	Soy egoísta.
Would you like to dance?	¿Queréis bailar?
Are you accomplices?	¿Ustedes son cómplices?
I'm a Christian.	Soy cristiano.
They want to leave.	Quieren irse.
You know that.	Ustedes los saben.
I can't help it.	No puedo evitarlo.
You have my word.	Tienen mi palabra.
We know it now.	Ahora sabemos.
That's a grapevine.	Eso es una parra.
It's too hot.	Está demasiado caliente.
Tom answered back.	Tom contestó.
Let me speak.	Dejame hablar.
He likes Disney.	Le gusta Disney.
Get down!	¡Agáchate!
Would you play with me?	¿Jugarías conmigo?
Don't watch TV.	No veas la televisión.
Come here.	Vení.
I'll refuse.	Rehusaré.
Can you whistle?	¿Podés silbar?
What did you recommend?	¿Qué recomendaste?
You're the owner.	Tú eres el propietario.
I have insomnia.	Tengo insomnio.
I stayed upstairs.	Me quedé arriba.
I heard you.	Te he oído.
It's still possible.	Todavía es posible.
He stopped talking.	Él paró de hablar.
I'm thinking.	Estoy pensando.
My arm hurts.	Me duele el brazo.
Do you smell that?	¿Hueles eso?
Never tell lies.	Nunca digas mentiras.
It's time to eat.	Hora de comer.
It's okay.	Está bien.
I'm a hero.	Soy un héroe.
Did you find anything?	¿Descubriste algo?
Tom, you're useless.	Tom, eres inútil.
You are probably wrong.	Probablemente te equivoques.
Were you alone?	¿Estabas sola?
I'm grateful.	Soy agradecida.
I'll try it.	Lo probaré.
This looks delicious.	Esto se ve delicioso.
Wait until tomorrow.	Esperá hasta mañana.
This is suicide!	¡Esto es un suicidio!
I'm bleeding badly.	Me estoy desangrando.
She looked away.	Desvió la vista.
I was just joking.	Solo estaba bromeando.
You understand me.	Usted me entiende.
She smiled at him.	Ella le sonrió.
Exhale.	Exhalar.
We're watching you.	Te estamos vigilando.
She plays Bach.	Ella interpreta a Bach.
I'm an accountant.	Soy contador.
Are you guys happy?	¿Sois felices?
Tom was frightened.	Tom estaba asustado.
Take a rest.	Repósate.
Hurry up, girls.	¡Apúrensen, muchachas!
You must stop him.	Debes detenerlo.
Are you lonely?	¿Te sientes solo?
Draw a circle.	Traza un círculo.
You're late.	Estás retrasado.
Revenge is sweet.	La venganza es dulce.
I sold the TV.	Vendí el televisor.
It isn't mine.	No es mío.
Be serious.	Sé serio.
Read this first.	Lee esto primero.
Turn on the ignition.	Encienda el contacto.
There's the bell.	Ahí está la campana.
You're very intelligent.	Sos muy inteligente.
That's so perfect.	Es perfecto.
The soup's cold.	La sopa está fría.
We heard gunfire.	Escuchamos disparos.
What awful weather!	¡Qué pésimo clima!
You should begin.	Deberíais empezar.
How awful!	¡Qué horror!
How much did you see?	¿Cuánto viste?
Where have you been?	¿Dónde has estado?
I'll never forget you.	Nunca os olvidaré.
I don't need reminding.	No necesito recordar.
I can prove it.	Puedo demostrarlo.
I'll pray for Tom.	Rezaré por Tom.
We can't sue.	No podemos demandar.
Let's relax.	Relajémonos.
