('regresalo', 'put it back')
('en los ultimos catorce dias has estado en contacto estrecho con alguien que haya sido positivo por sars cov ?', 'within the past days have you been in close contact with someone who has tested positive for covid ?')
('tienes el manual ?', 'do you have the manual ?')
('me pregunto si me prestara la guitarra durante las vacaciones', 'i wonder if he can lend me his guitar during the vacation')
('mire cuanto bota esa pelota', 'look how that ball bounces')
('tom y mary jugaron al escondite', 'tom and mary played hide and go seek')
('algo ha salido terriblemente mal', 'something has gone terribly wrong')
('quiero que me digas todo lo que sucedio', 'i want you to tell me everything that happened')
('pense que tom querria ayudarme', 'i thought tom would want to help me')
('siempre supe que eras inocente', 'i always knew you were innocent')
('tom dice que la ayuda esta en camino', 'tom says help is on the way')
('es el momento perfecto para un beso', 'it s the perfect moment for a kiss')
('no tengo un mango', 'i don t have any money')
('hoy hace muchisimo calor', 'today is extremely hot')
('quieres hacer eso ?', 'do you want to do that ?')
('estare esperando alli', 'i ll be waiting over there')
('lleva el chubasquero por si llueve', 'take your raincoat in case it rains')
('aun no he terminado de leerlo', 'i m not done reading it yet')
('avisame por telefono', 'let me know by telephone')
('a pesar de su riqueza y su fama el es infeliz', 'even with all his wealth and fame he s unhappy')
('tom trabajo todo el dia y estaba completamente exhausto', 'tom worked all day and was completely worn out')
('ya llego la navidad', 'christmas is here')
('tenga cuidado no deje caer la bandeja', 'be careful don t drop the tray')
('es un equilibrio muy delicado', 'it s a very delicate balance')
('todos me odian porque soy feo', 'everyone hates me because i m ugly')
('tenemos un riesgo importante en el negocio', 'we have a substantial stake in the venture')
('creo que es hora de disculparme con ella', 'i think it s time for me to apologize to her')
('tom dijo que desearia no haber dejado sus ventanas sin echar el cierre', 'tom said he wished he hadn t left his windows unlocked')
('el sabe leer bien', 'he can read well')
('ellos anunciaron que planeaban vivir en boston', 'they announced that they were planning to live in boston')
('es un riesgo que tenemos que tomar', 'it s a risk we have to take')
('tom siempre fue un nino tan feliz', 'tom was always such a happy boy')
('como tenia un poco de fiebre me quede en la cama', 'since i had a slight fever i stayed in bed')
('comienzo a disfrutarlo', 'i m starting to enjoy it')
('tienes que creernos', 'you have to believe us')
('tom no podria haberlo hecho solo creo', 'tom couldn t have done that by himself i think')
('alguna vez comerias una cucaracha ?', 'would you ever eat a cockroach ?')
('estais bebiendo ?', 'are you drinking ?')
('estoy feliz y satisfecho', 'i m happy and satisfied')
('que hay para comer ?', 'what s there to eat ?')
('mi madre me hizo un poco de ropa nueva', 'my mother made some new clothes')
('no tengo idea por que tom esta tan nervioso', 'i don t know why tom is so nervous')
('este es nuestro ultimo dia juntos', 'this is our last day together')
('tom quiere una docena de huevos', 'tom wants a dozen eggs')
('no tienes una coartada para el dia del homicidio', 'you don t have an alibi for the day of the murder')
('tom estaba muy espantado', 'tom was very scared')
('mira estos', 'look at these')
('esto es solo para vosotros', 'this is only for you')
('ellos tampoco pueden oirme', 'they can t hear me either')
('no puedo hacerlo solo tienes que ayudarme', 'i can t do it alone you have to help me')
('era un navio de guerra americano grande y negro', 'it was a big black american warship')
('tom ha empezado a buscar trabajo', 'tom has begun to look for work')
('no te enojes conmigo', 'don t get mad at me')
('vas a irte a la cama pronto no ?', 'you re going to bed early right ?')
('sabia que estarias aqui', 'i knew you d be in here')
('su voz suena muy bello', 'her voice sounds very beautiful')
('tom se paso tres semanas sin afeitarse hasta que su esposa se quejo', 'tom went for three weeks without shaving before his wife complained')
('acabo de terminar de empacar', 'i ve just finished packing')
('tom fue a ver a mary a boston', 'tom went to boston to meet mary')
('tendremos que trasnochar', 'we ll have to pull an all nighter')
('no volvere a daros la espalda', 'i won t turn my back on you again')
('solo faltan tres dias para navidad', 'it s only three days till christmas')
('tom partio tres dias atras', 'tom left three days ago')
('mi madre estaba ocupada preparando la cena', 'my mother was busy cooking dinner')
('los ninos son el futuro', 'children are the future')
('me pueden dar algo de agua ?', 'can i have some water ?')
('no hables mientras estas comiendo', 'don t talk while you re eating')
('comes con nosotras verdad ?', 'you ll eat with us won t you ?')
('ahora estas tu a cargo', 'you re in charge now')
('ojala el metro no estuviera tan lleno todas las mananas', 'i wish the subway wasn t so crowded every morning')
('me sente y abri mi cuaderno', 'i sat down and opened my notebook')
('a lo mejor tom salio con mary', 'maybe tom went out with mary')
('no hagas preguntas solo ven conmigo', 'don t ask questions just come with me')
('el testigo no parecia estar nervioso cuando testifico en el juicio', 'the witness did not seem nervous when he spoke at the trial')
('tom buscaba a maria', 'tom was looking for mary')
('me pase todo el fin de semana estudiando en la biblioteca', 'i spent the entire weekend studying in the library')
('alguien sabe como empezo el incendio ?', 'does anybody know how the fire started ?')
('tom es terrorista', 'tom is a terrorist')
('como vamos a hacerlo ?', 'how do we do that ?')
('cuando puedo irme a casa ?', 'when do i get to go home ?')
('no soy vuestra amiga', 'i m not your friend')
('tom esta bailando con mary', 'tom is dancing with mary')
('para soltar un tornillo giralo hacia la derecha', 'to unscrew a screw turn it to the right')
('que dira tomas sobre eso ?', 'what s tom going to say about that ?')
('ya estoy listo', 'i m already ready')
('ella no es la victima', 'she is not the victim')
('quieres almorzar conmigo ?', 'would you like to eat lunch together ?')
('usted acepta este desafio ?', 'do you accept this challenge ?')
('en mi escritorio se apilan libros y documentos', 'books and documents are piling up on my desk')
('estoy escribiendo un articulo', 'i m writing an article')
('estaba tan bien', 'it was so good')
('tom no tuvo valor para decirle a mary lo que le habia ocurrido a su perro', 'tom didn t have the heart to tell mary what had happened to her dog')
('detesto jugar a las cartas', 'i hate playing cards')
('metete en la caravana', 'get in the van')
('lo metieron preso', 'he was put in prison')
('las flores en el jardin son maravillosas', 'the flowers in the garden are beautiful')
('tom se mudo', 'tom moved')
('cuando llegue a casa note que habia perdido mi billetera', 'when i got home i noticed that i had lost my wallet')
('sois parientes ?', 'are you related ?')
('cierra la boca', 'shut your mouth')
('no quiero ir contigo', 'i don t want to go with you')
('el viene aqui dos veces por semana', 'he comes here twice a week')
('a la manana siguiente de haber llegado alli di un paseo por el bosque de robles', 'the morning after i arrived there i took a walk into the woods of oaks')
('donde estan tus hijos ?', 'where are your kids ?')
('quien vende esto ?', 'who sells this ?')
('cual es tu cantante favorito ?', 'who is your favorite singer ?')
('voy a necesitarte mas tarde', 'i m going to need you later')
('no deberias comer aca', 'you shouldn t eat here')
('estoy esperando una llamada muy importante', 'i m waiting for a very important call')
('a tom le serviria algo de ayuda', 'tom could do with some help')
('mi jefe actual es dificil de complacer', 'my current boss is hard to please')
('todo sitio web tiene una direccion unica', 'every website has a unique address')
('no fuimos atacadas', 'we weren t attacked')
('se hicieron herramientas con huesos de bufalo', 'buffalo bones were made into tools')
('espero que tengas lo que necesites', 'i hope you got what you needed')
('fue el momento perfecto para un beso', 'it was the perfect moment for a kiss')
('este es un nuevo modelo', 'this is a new model')
('eso nos pertenece', 'that belongs to us')
('recientemente estuve pensando en lo que quiero hacer con mi vida', 'recently i ve been thinking about what i want to do with my life')
('para que son estos ?', 'what are these for ?')
('tom cambio repentinamente de tema', 'tom changed the subject abruptly')
('solo estoy un poco sorprendida', 'i m just a little surprised')
('tom se rio de todos los chistes de mary', 'tom laughed at all of mary s jokes')
('la chica que trabaja en la panaderia es guapa', 'the girl who works at the bakery is pretty')
('la enfermera me saco sangre', 'the nurse drew my blood')
('quiza vaya contigo manana', 'i might want to go with you tomorrow')
('no hagas nada precipitado', 'don t do anything hasty')
('derrame algo de jugo de fruta en mi camisa nueva', 'i spilled some fruit juice on my new shirt')
('asi va el frances', 'that s how french is')
('tuve compasion del joven', 'i felt pity for the boy')
('va a ir ?', 'will you go ?')
('saco el dinero del banco', 'she drew out the money from the bank')
('se que estais enamorados de mi', 'i know you re in love with me')
('la revolucion francesa empezo en', 'the french revolution began in')
('a tom no le gusta comer pescado', 'tom doesn t like eating fish')
('el me presiono', 'he pressured me')
('adivina a quien vi hoy', 'guess who i saw today')
('aunque era muy tarde el siguio trabajando', 'though it was very late he went on working')
('los ingleses derrotaron a los franceses en norteamerica en', 'the british defeated the french in north america in')
('no a todos les gusta ese libro', 'not everyone likes that book')
('quiero que vuelva a su puesto', 'i want you to return to your seat')
('frente al peligro ella mostro su valor', 'she showed her courage in the face of danger')
('cuando fue la ultima vez que lloraste y por que ?', 'when was the last time you cried and why ?')
('tom no sabe donde ha ido mary', 'tom doesn t know where mary has gone')
('no debes caer en la tentacion', 'you must not yield to temptation')
('tom parece estar enojado', 'tom looks angry')
('fuera de mi cama', 'get out of my bed')
('quiero a mi mama', 'i love my mom')
('espera alli', 'hold on there')
('envuelvalo por favor', 'just wrap it up')
('esta manana solo he comido una tostada y he bebido un cafe', 'i only had a piece of toast and a cup of coffee this morning')
('mi familia vivio aqui por veinte anos', 'my family lived here for twenty years')
('tom lo hizo todo por su cuenta', 'tom did it all by himself')
('no tenia mucho sueno', 'i wasn t very sleepy')
('estamos en el jardin', 'we re in the garden')
('tom contesto', 'tom answered back')
('la larga guerra al fin finalizo', 'the long war came to an end at last')
('no puedo ayudarte', 'i can t help you')
('tienes que creer en mi', 'you have to believe in me')
('acerte', 'i guessed right')
('no puedes triunfar siempre', 'you can t win all the time')
('algunos de los estudiantes se ausentaron por estar resfriados', 'some of the students were absent with colds')
('se rompio un brazo y tuvieron que entablillarselo', 'he broke his arm and they had to put splints on it')
('mi maletin esta lleno de papeles', 'my briefcase is full of papers')
('ese es su coche', 'that is his car')
('a tom le gusta el pescado', 'tom likes fish')
('deberiamos haber tenido mas cuidado', 'we should have been more careful')
('todas eran amigas cuando pequenas', 'they were all friends as children')
('oi que ella es una actriz famosa', 'i hear that she s a famous actress')
('tom y maria se conocieron en una fiesta de ano nuevo', 'tom and mary met at a new year s party')
('no hay tiempo', 'there s no time')
('necesitamos algunos empleos', 'we need some jobs')
('alguna vez has gritado en un cine ?', 'have you ever screamed in a movie theater ?')
('puedes ir adonde quieras', 'you can go wherever you want')
('mi hijo se ha perdido', 'my child is missing')
('parece no tener ningun valor', 'it seems worthless')
('que llevaras puesto ?', 'what will you wear ?')
('me duele la garganta al tragar', 'my throat hurts when i swallow')
('el edificio fue construido en', 'the building was built in')
('al final del discurso ella repitio la palabra', 'at the end of the speech she repeated the word')
('volvere a llamar en veinte minutos', 'i ll call back in twenty minutes')
('no conozco esta cancion', 'i don t know this song')
('el fallecio repentinamente', 'he passed away quite suddenly')
('tom no es alto', 'tom isn t tall')
('tom dice que puede estar aqui a las', 'tom says that he can be here by')
('hay una cabana cruzando el puente', 'there is a cottage beyond the bridge')
('limon caliente con miel es un buen remedio para los resfriados', 'hot lemon with honey is a good remedy for colds')
('siguio leyendo el libro como si nada hubiera pasado', 'he went on reading the book as if nothing had happened')
('no puedo evitar pensar que mi padre sigue con vida', 'i can t help thinking my father is still alive')
('ella estaba desilusionada y enojada consigo misma por ser asi', 'she was disappointed and angry with herself for being so')
('ayer fui alli', 'i went there yesterday')
('no se si soportaria estar lejos de ti', 'i don t know if i could stand being away from you')
('las anotaciones estan al pie de la pagina', 'the footnotes are at the bottom of the page')
('la belleza no es importante', 'beauty isn t important')
('nieva mucho en tu pais ?', 'do you have much snow in your country ?')
('dile que estoy arreglando el frigorifico', 'tell her that i am repairing the refrigerator')
('creo que no es abogado', 'i don t believe he is a lawyer')
('hay que arreglar este reloj', 'this watch needs to be fixed')
('tiene usted fotos de boston ?', 'do you have any pictures of boston ?')
('ese escenario es poco probable', 'that scenario is unlikely')
('tu calceta tiene un agujero grande', 'there is a big hole in your stocking')
('por favor adopte este gato', 'please adopt this cat')
('deberias comer mas fruta', 'you should eat more fruit')
('tom no pudo obtener el empleo que queria', 'tom couldn t get the job he wanted')
('pensas que estoy haciendo lo correcto ?', 'do you think i m doing the right thing ?')
('la nicotina es un veneno', 'nicotine is a poison')
('a tomas le gusta la comida india', 'tom likes indian food')
('tom va a echar de menos hacer esto', 'tom is going to miss doing this')
('nos hicimos buenos amigos', 'we became very good friends')
('aqui tienes', 'here you are')
('puedes comer y beber tanto como quieras', 'you can eat and drink as much as you want')
('podria tardar unos dias en llegar el dinero a su destino', 'the money could take days to arrive at its destination')
('todos se ven cansados', 'everyone looks tired')
('esto esta un poco salado', 'this is a little salty')
('la confianza se gana', 'trust is earned')
('voy a necesitar detalles', 'i m going to need details')
('el es un adversario formidable', 'he is a formidable opponent')
('tom reconocio que habia cometido un error', 'tom acknowledged making a mistake')
('oh por cierto tengo algo para ti', 'oh by the way i have something for you')
('puedo probar tu pan ?', 'can i try your bread ?')
('puedo beberme todo esto ?', 'is it ok if i drink all of this ?')
('yo quepo dentro de aquella caja', 'i can fit into that box')
('diez anos es realmente un largo tiempo', 'ten years is a really long period of time')
('tom tiene que irse en unos minutos', 'tom has to leave in a few minutes')
('rechazo hacerlo', 'i refuse to do it')
('lavemonos las manos', 'let s wash our hands')
('el silencio es un arma muy poderosa', 'silence is a very powerful weapon')
('me siento a solas sin tom', 'i feel alone without tom')
('ella dio su palabra de que no beberia', 'she gave her oath that she would not drink')
('tu y yo vamos juntos', 'you and i are going together')
('por mas que coma yo nunca engordo', 'no matter how much i eat i never get fat')
('ojala yo hubiera podido ir con ella', 'i wish i could have gone with her')
('no puedo ayudar a tom con eso', 'i can t help tom with that')
('tienes perro no ?', 'you keep a dog don t you ?')
('me robo la cartera', 'he robbed me of my purse')
('ten cuidado de no romper esta jarra por favor', 'please be careful not to break this vase')
('el detective se disfrazo de viejo caballero', 'the detective disguised himself as an old gentleman')
('he leido muchos libros', 'i ve read a lot of books')
('quien ha escrito la carta ?', 'who wrote the letter ?')
('estoy haciendo todo lo posible para evitar pillar un resfriado', 'i m doing everything i can to avoid catching a cold')
('de donde has cogido el dinero ?', 'where did you get the money from ?')
('quieres hacerme algunas preguntas ?', 'do you want to ask me some questions ?')
('tengo que hacer eso manana', 'i have to do that tomorrow')
('el fue a cazar en el bosque', 'he went hunting in the woods')
('la pelicula fue un gran exito', 'the film was a great success')
('me pregunto a donde habra ido', 'i wonder where she has gone')
('tom quiere ver que hay en el cajon', 'tom wants to see what s in the drawer')
('tom esta solo en su oficina', 'tom is alone in his office')
('dile a tom que lo extrano', 'tell tom i miss him')
('no soy rico', 'i m not wealthy')
('le gusta andar conmigo', 'she likes to walk with me')
('pense que tom vendria a recogerme', 'i thought tom would come to pick me up')
('no quiero leer ese libro', 'i don t want to read this book')
('el acantilado cuelga sobre el camino', 'the cliff hangs over the road')
('tom no estaba seguro de como seria maria y se pregunto si acaso se llevaria bien con sus amigos', 'tom was unsure what mary would be like and he wondered whether she would get along with his friends')
('bebo leche casi todos los dias', 'i drink milk almost every day')
('empezad a cantar', 'start singing')
('a la pobre anciana le han vuelto a robar la bolsa', 'the poor old woman had her bag stolen again')
('quien te ha dado eso ?', 'who gave you that ?')
('yo desde ayer no comia nada', 'i haven t eaten anything since yesterday')
('ella esta sentada en la cocina tomando te', 'she s sitting in the kitchen and drinking tea')
('siempre digo la verdad', 'i always tell the truth')
('tienes fiebre', 'you ve got a fever')
('solo queria ayudar al equipo', 'i just wanted to help the team')
('eso es exactamente lo que queria comprar', 'that is exactly what i wanted to buy')
('tom posiblemente tenga cancer', 'tom might have cancer')
('es una buena idea', 'it s a good idea')
('el memorizaba diez palabras en ingles al dia', 'he memorized ten english words a day')
('podeis hablar con mas claridad ?', 'can you speak more clearly ?')
('tus zapatos estan desatados', 'your shoes are untied')
('hoy anduve en un monociclo', 'i rode a unicycle today')
('tom descubrio que maria estaba robando de la caja registradora', 'tom found out mary was stealing from the cash register')
('de verdad se llama tom ?', 'is his name really tom ?')
('tom esta desempleado', 'tom is unemployed')
('tom deberia ser recriminado', 'tom should be scolded')
('quiero que todos sepan lo que paso', 'i want everyone to know what happened')
('tom le dio sus sobras a su perro', 'tom fed his leftovers to his dog')
('dejale que pague', 'let him pay for it')
('cuanto tiempo se van a quedar con nosotros ?', 'how long will you be staying with us ?')
('estados unidos no es la nacion mas democratica', 'america is not the most democratic nation')
('pareces estar sufriendo', 'you look like you re in pain')
('el es mi jefe', 'he is my boss')
('no la vere mas', 'i won t see her anymore')
('entierralo', 'bury it')
('quiero que me esperen', 'i want you guys to wait for me')
('eres la unica persona de mi edad que conozco', 'you re the only person i know who s my age')
('que vengan tambien tus ninos', 'bring your kids too')
('pirate', 'beat it')
('para mi sorpresa el se gano el premio', 'to my surprise he won the prize')
('no estoy seguro de querer ver esto', 'i m not sure i want to see this')
('mejor no vayas hoy', 'you d better not go today')
('estoy atrapado aqui dentro', 'i m trapped in here')
('tanto tom como mary estan exhaustos', 'tom and mary are both exhausted')
('tom se dano el codo al caer', 'tom hurt his elbow when he fell')
('donde estan mis cigarrillos ?', 'where are my cigarettes ?')
('que estais haciendo vosotras dos ?', 'what are you two doing ?')
('donde nos encontraremos ?', 'where shall we meet ?')
('nuestro equipo todavia esta invicto', 'our team is still undefeated')
('solo estoy haciendo mi trabajo', 'i m just doing my job')
('nos veremos otra vez ?', 'will you let me see you again ?')
('bebe mucha agua', 'drink a lot of water')
('te he comprado un coche', 'i bought you a car')
('pagare con tarjeta de credito', 'i ll pay by credit card')
('jugar tenis es facil', 'it is easy to play tennis')
('tom tuvo algo que esconder', 'tom had something to hide')
('alquilaron un apartamento', 'they rented an apartment')
('parece que tom pudo conseguir lo que queria', 'it looks like tom was able to get what he wanted')
('tom y mary son amigos de john', 'tom and mary are friends with john')
('tom y mary recientemente compraron una casa en park street', 'tom and mary have recently bought a house on park street')
('no te comportes como un imbecil', 'don t act like a jerk')
('no tengo nada que darte', 'i don t have anything to give to you')
('una mujer se levanto repentinamente', 'suddenly a young woman stood up')
('su nueva novela se convirtio en un best seller', 'her new novel has become a best seller')
('tom no pudo decir ni una palabra', 'tom couldn t say a word')
('nadie quiere parecer idiota', 'no one wants to look like a fool')
('no estoy tan sano como antano', 'i m not as healthy as i used to be')
('hay algo importante ?', 'is it something important ?')
('como nos ha encontrado ?', 'how did he find us ?')
('tom era el companero de celda de john', 'tom was john s cellmate')
('donde puedo tirar esta cascara de huevo ?', 'where can i throw this eggshell ?')
('deben pensar que esto es comico', 'you must think this is funny')
('no deberia tener que hacer todo este trabajo yo solo', 'i shouldn t have to do all this work by myself')
('hasta el fondo !', 'bottoms up !')
('tom toco guitarra por mas o menos una hora', 'tom played guitar for nearly an hour')
('muchas madres malcrian a sus hijos por no ser lo suficientemente estrictas', 'many a mother spoils her sons by not being strict enough')
('te gusto la pelicula ?', 'did you like the movie ?')
('los peces pequenos nadan igual de bien que los grandes', 'small fish swim just as well as big ones')
('el no habla a menos que se lo pidan', 'he does not speak unless he is asked to')
('me case', 'i got married')
('deberiais pedirles permiso a vuestros padres', 'you should ask your parents for permission')
('luce sabroso', 'it looks appetizing')
('ella le pidio que se lo leyera porque habia perdido sus gafas', 'she asked him to read it for her because she had lost her glasses')
('tomas estaba vestido de negro', 'tom was dressed in black')
('tuve que alquilar un auto', 'i had to rent a car')
('tom piensa que ira a comprar esta tarde', 'tom thinks he ll go shopping this afternoon')
('fue real', 'it was real')
('tom no lo soporta', 'tom can t stand it')
('cual prefieres ? esta o aquella ?', 'which one do you prefer this one or that one ?')
('el punto de vista de tom ha cambiado', 'tom s perspective has changed')
('en estos momentos ella esta muy ocupada no puede hablar contigo', 'she is busy right now and she can t speak with you')
('el es considerado un genio', 'he is said to be a genius')
('se lo podemos dar fiado', 'we can let you have it on credit')
('venga tranquilidad', 'try to remain calm')
('cual es tu pelicula romantica preferida ?', 'what s your favorite romantic movie ?')
('tom se despierta temprano casi todas las mananas', 'tom wakes up early almost every morning')
('la gente sin sentido del humor son como prados sin flores', 'people with no sense of humor are like meadows with no flowers')
('me pagan cada mes', 'i get paid every month')
('compramos una casa el ano pasado', 'we bought a house last year')
('el es solo un hombre ordinario', 'he s just an ordinary man')
('tomas tiene una pierna rota', 'tom has a broken leg')
('me quede dormido en la clase de matematicas', 'i went to sleep during the math lesson')
('esa isla tiene un clima tropical', 'that island has a tropical climate')
('quisiera saber por que lo hiciste', 'i d like to know why you did it')
('este cuchillo no esta lo suficientemente afilado', 'this knife is not sharp enough')
('tom se lo conto todo a mary', 'tom told mary everything')
('ponte los calcetines', 'put your socks on')
('ahora no puedo ir', 'i can t come now')
('esta brujula les sera util en el viaje', 'this compass will be useful on your trip')
('alguna vez has visto uno ?', 'have you ever seen one ?')
('lo siento pero me tengo que ir', 'sorry i ve got to go')
('por que os estais manifestando contra el gobierno ?', 'why are you protesting against the government ?')
('mi falda es demasiado larga', 'my skirt is too long')
('ahora esta solo', 'he is now on his own')
('no estoy loco el que esta loco sos vos', 'i m not crazy you re the one who s crazy')
('el dinero fue dividido entre tres', 'the money was divided among the three')
('tenedlo siempre presente', 'always keep that in mind')
('esta chupado', 'it s a piece of cake')
('le sacaron el tumor', 'the tumor was removed')
('lo unico que importa es si acaso eres feliz o no', 'the only thing that really matters is whether or not you are happy')
('no te puedes ir ahora', 'you can t go now')
('tom no nos ofrecio nada para comer', 'tom didn t offer us anything to eat')
('ella hizo su tarea', 'she has done her homework')
('escale hasta la cima del monte fuji', 'i climbed to the top of mt fuji')
('no seria el mismo sin ti', 'i wouldn t be the same without you')
('como estaba cansado me fui a la cama', 'i was tired so i went to bed')
('haga el favor de meter un poco las costuras de la chaqueta', 'please take in the seams of the jacket a little')
('yo hice eso ?', 'did i do that ?')
('es solo un nino', 'he is but a child')
('el telefono no funciona', 'the telephone doesn t work')
('dejamos la puerta abierta', 'we left the door open')
('necesitas algo ?', 'do you need anything ?')
('impresiono a los jovenes', 'it impressed the young people')
('tom ya llego a boston', 'tom has arrived in boston already')
('le pregunte sobre el accidente', 'i asked him about the accident')
('tom le agradecio a mary por ayudarlo', 'tom thanked mary for helping him')
('ella esta ocupada aprendiendo ingles', 'she is busy learning english')
('tom no pudo conseguir el libro que queria', 'tom couldn t get the book he wanted')
('por que nadie esta comiendo ?', 'why is no one eating ?')
('quiero hablar con mi abogado', 'i want to talk with my lawyer')
('esto esta muy bueno', 'this is very good')
('me gusta hacer feliz a la gente', 'i like to make people happy')
('las bandas eran horizontales', 'the stripes were horizontal')
('ayer repare el coche', 'i fixed the car yesterday')
('le dijo adios con la mano', 'she waved goodbye to him')
('nuestro trabajo esta casi terminado', 'our work is almost over')
('alemania no queria una guerra con estados unidos', 'germany did not want war with the united states')
('mi gato es negro', 'my cat is black')
('esta intentando suicidarse', 'he s trying to commit suicide')
('dile a tom que puede volver despues del almuerzo por favor', 'please tell tom he can come back after lunch')
('hasta donde estas preparado para ir ?', 'how far are you prepared to go ?')
('tom aun no esta casado', 'tom is still not married')
('yo que tu tendria cuidado', 'i d be careful if i were you')
('unicamente deseabamos estar seguros', 'we just wanted to make sure')
('atate los cordones', 'tie your shoes')
('esto me vuelve loco', 'this drives me nuts')
('por que estan enfadadas ?', 'why are you angry ?')
('tom me dijo que esta preparado', 'tom told me he s prepared')
('hable despacio por favor', 'speak slowly please')
('ella se volvio feliz', 'she became happy')
('tom si que sabe como festejar', 'tom certainly knows how to party')
('tenemos que coger esas manzanas inmediatamente o se van a podrir', 'we have to pick those apples right now otherwise they ll decay')
('cuando te toca pagar la renta ?', 'when s your rent due ?')
('lo puedo hacer ahora', 'i can do it now')
('estudiabamos', 'we were studying')
('el hecho de que sea caro no significa que sea bueno', 'the fact that it s expensive doesn t mean that it s any good')
('lo vi cruzando la calle', 'i saw him crossing the street')
('estudio psicologia', 'i study psychology')
('tom en realidad no quiere tus consejos', 'tom doesn t really want your advice')
('tom le paso a mary una taza de cafe caliente', 'tom handed mary a cup of hot coffee')
('no done sangre', 'i didn t donate blood')
('el le pidio a ella su consejo acerca del problema', 'he asked her advice about the problem')
('no tengo cancer', 'i don t have cancer')
('yo digo lo que pienso', 'i say what i think')
('estamos comodos en nuestra nueva casa', 'we are comfortable in our new house')
('te gustaria mostrar tus orejas ?', 'do you want your ears to show ?')
('a veces mentimos para no herir los sentimientos de otro', 'sometimes we lie so that we don t hurt the feelings of others')
('me lo pase muy bien en la fiesta de anoche', 'i enjoyed myself very much at the party last night')
('no entres a mi pieza sin golpear', 'don t come in my room without knocking')
('el tiene un monton de hobbys', 'he has a lot of hobbies')
